column_name,table_name,data_type,is_Key,table_schema
ID,tattributesthatarenullable,int,YES,acme
IntIsNullable,tattributesthatarenullable,int,NO,acme
IsNotNullable,tattributesthatarenullable,int,NO,acme
VarCharIsNullable,tattributesthatarenullable,varchar,NO,acme
DateIsNullable,tattributesthatarenullable,date,NO,acme
ClassID,tclass,int,YES,acme
ClassName,tclass,varchar,NO,acme
CustomerID,tcustomer,int,YES,acme
CustomerCode,tcustomer,varchar,NO,acme
CustomerName,tcustomer,varchar,NO,acme
Address1,tcustomer,varchar,NO,acme
Address2,tcustomer,varchar,NO,acme
City,tcustomer,varchar,NO,acme
State,tcustomer,varchar,NO,acme
ZipCode,tcustomer,varchar,NO,acme
CustomerTypeID,tcustomer,int,NO,acme
CustomerTypeID,tcustomertype,int,YES,acme
CustomerType,tcustomertype,varchar,NO,acme
ID,tdeterminanttest,int,YES,acme
FirstName,tdeterminanttest,varchar,NO,acme
LastName,tdeterminanttest,varchar,NO,acme
Address,tdeterminanttest,varchar,NO,acme
SSN,tdeterminanttest,varchar,NO,acme
DeterminantTestID,tdeterminanttest_01,int,YES,acme
Fruit,tdeterminanttest_01,varchar,NO,acme
Vegetable,tdeterminanttest_01,varchar,NO,acme
Meal,tdeterminanttest_01,varchar,NO,acme
DeterminanttestID,tdeterminanttest_02,int,YES,acme
Meal,tdeterminanttest_02,char,NO,acme
Meat,tdeterminanttest_02,char,NO,acme
Drink,tdeterminanttest_02,char,NO,acme
Desert,tdeterminanttest_02,char,NO,acme
Fruit,tdeterminanttest_02,char,NO,acme
Vegetable,tdeterminanttest_02,char,NO,acme
DeterminantTestID,tdeterminanttest_03,int,YES,acme
FirstName,tdeterminanttest_03,char,NO,acme
FavoriteColor,tdeterminanttest_03,char,NO,acme
DeterminantTestID,tdeterminanttest_04,int,YES,acme
A1,tdeterminanttest_04,char,NO,acme
A2,tdeterminanttest_04,char,NO,acme
A3,tdeterminanttest_04,char,NO,acme
A4,tdeterminanttest_04,char,NO,acme
DeterminantTestID,tdeterminanttest_05,int,YES,acme
A1,tdeterminanttest_05,char,NO,acme
A2,tdeterminanttest_05,char,NO,acme
A3,tdeterminanttest_05,char,NO,acme
A4,tdeterminanttest_05,char,NO,acme
EmplID,templ,int,YES,acme
LastName,templ,varchar,NO,acme
FirstName,templ,varchar,NO,acme
EmplNo,templ,int,NO,acme
FlightID,tflight,int,YES,acme
FlightNumber,tflight,varchar,NO,acme
DepartureDate,tflight,date,NO,acme
DepartureTime,tflight,time,NO,acme
PilotID,tpilot,int,YES,acme
EmployeeNumber,tpilot,int,NO,acme
LastName,tpilot,varchar,NO,acme
FirstName,tpilot,varchar,NO,acme
Pilot_FlightID,tpilot_flight,int,YES,acme
PilotID,tpilot_flight,int,NO,acme
FlightID,tpilot_flight,int,NO,acme
ProductID,tproduct,int,NO,acme
Status,tproduct,varchar,NO,acme
UPC_E,tproduct,varchar,NO,acme
UPC_A,tproduct,varchar,NO,acme
ManufacturerID,tproduct,int,NO,acme
BrandID,tproduct,int,NO,acme
PricePerSellableUnit,tproduct,varchar,NO,acme
NameID,tproduct,int,NO,acme
Description,tproduct,varchar,NO,acme
ContainerID,tproduct,int,NO,acme
Size,tproduct,varchar,NO,acme
Size_UOMID,tproduct,varchar,NO,acme
I_Size,tproduct,varchar,NO,acme
I_UOMID,tproduct,varchar,NO,acme
Parent,tproduct,varchar,NO,acme
Count,tproduct,varchar,NO,acme
Endorsements,tproduct,varchar,NO,acme
Country,tproduct,varchar,NO,acme
Prepared Notes Health Claims,tproduct,varchar,NO,acme
Serving_Size,tproduct,varchar,NO,acme
Serving_Size_UOMID,tproduct,varchar,NO,acme
I_Serving_Size,tproduct,varchar,NO,acme
IServing_Size_UOM,tproduct,varchar,NO,acme
IServing_Size_UOMID,tproduct,varchar,NO,acme
Pieces,tproduct,varchar,NO,acme
Servings_Per_Container,tproduct,varchar,NO,acme
Calories,tproduct,varchar,NO,acme
Fat_Calories,tproduct,varchar,NO,acme
Total_Fat_G,tproduct,varchar,NO,acme
Dvp_Total_Fat,tproduct,varchar,NO,acme
Saturated_Fat_G,tproduct,varchar,NO,acme
Dvp_Saturated_Fat,tproduct,varchar,NO,acme
Trans_Fat_G,tproduct,varchar,NO,acme
Dvp_Trans_Fat,tproduct,varchar,NO,acme
Polyunsaturated_Fat_G,tproduct,varchar,NO,acme
Monounsaturated Fat_G,tproduct,varchar,NO,acme
Cholesterol_MG,tproduct,varchar,NO,acme
Dvp_Cholesterol,tproduct,varchar,NO,acme
Sodium_MG,tproduct,varchar,NO,acme
Dvp_Sodium,tproduct,varchar,NO,acme
Potassium_MG,tproduct,varchar,NO,acme
Dvp_Potassium,tproduct,varchar,NO,acme
Carbohydrates_G,tproduct,varchar,NO,acme
Dvp_Carbohydrates,tproduct,varchar,NO,acme
Fiber_G,tproduct,varchar,NO,acme
Dvp_Dietary_Fiber,tproduct,varchar,NO,acme
Sugars_G,tproduct,varchar,NO,acme
Dvp_Sugar,tproduct,varchar,NO,acme
Other_Carbohydrates_G,tproduct,varchar,NO,acme
Sugar Alcohols_G,tproduct,varchar,NO,acme
Protein_G,tproduct,varchar,NO,acme
Dvp_Protein,tproduct,varchar,NO,acme
Net_Carbs_G,tproduct,varchar,NO,acme
Ingredients,tproduct,varchar,NO,acme
Warnings,tproduct,varchar,NO,acme
Allergy Information,tproduct,varchar,NO,acme
Dvp_Vitamin_A,tproduct,varchar,NO,acme
Dvp_Vitamin_C,tproduct,varchar,NO,acme
Dvp_Calcium,tproduct,varchar,NO,acme
Dvp_Iron,tproduct,varchar,NO,acme
Dvp_Vitamin_D,tproduct,varchar,NO,acme
Dvp_Vitamin_E,tproduct,varchar,NO,acme
Dvp_Vitamin_K,tproduct,varchar,NO,acme
Dvp_Thiamin,tproduct,varchar,NO,acme
Dvp_Riboflavin,tproduct,varchar,NO,acme
Dvp_Niacin,tproduct,varchar,NO,acme
Dvp_Vitamin_B1,tproduct,varchar,NO,acme
Dvp_Vitamin_B2,tproduct,varchar,NO,acme
Dvp_Vitamin_B6,tproduct,varchar,NO,acme
Dvp_Folic_Acid,tproduct,varchar,NO,acme
Dvp_Vitamin_B12,tproduct,varchar,NO,acme
Dvp_Biotin,tproduct,varchar,NO,acme
DVP_Pantothenic_Acid,tproduct,varchar,NO,acme
Dvp_Phosphorus,tproduct,varchar,NO,acme
Dvp_Iodine,tproduct,varchar,NO,acme
Dvp_Magnesium,tproduct,varchar,NO,acme
Dvp_Zinc,tproduct,varchar,NO,acme
Dvp_Selenium,tproduct,varchar,NO,acme
Dvp_Copper,tproduct,varchar,NO,acme
Dvp_Manganese,tproduct,varchar,NO,acme
Dvp_Chromium,tproduct,varchar,NO,acme
Dvp_Molybdenum,tproduct,varchar,NO,acme
Dvp_Vitamin_B3,tproduct,varchar,NO,acme
Dvp_Vitamin_B5,tproduct,varchar,NO,acme
Dvp_Folate,tproduct,varchar,NO,acme
Soluble Fiber,tproduct,varchar,NO,acme
Insoluble Fiber,tproduct,varchar,NO,acme
Phosphate,tproduct,varchar,NO,acme
Chloride,tproduct,varchar,NO,acme
Caffeine_Mg,tproduct,varchar,NO,acme
Silica,tproduct,varchar,NO,acme
pH,tproduct,varchar,NO,acme
Bicarbonates,tproduct,varchar,NO,acme
Total Dissolved Solids,tproduct,varchar,NO,acme
Omega 3,tproduct,varchar,NO,acme
Oleic Acid,tproduct,varchar,NO,acme
ProductID,tproductshort,int,NO,acme
Status,tproductshort,varchar,NO,acme
UPC_E,tproductshort,varchar,NO,acme
UPC_A,tproductshort,varchar,NO,acme
ManufacturerID,tproductshort,int,NO,acme
BrandID,tproductshort,int,NO,acme
PricePerSellableUnit,tproductshort,varchar,NO,acme
NameID,tproductshort,int,NO,acme
Description,tproductshort,varchar,NO,acme
ContainerID,tproductshort,int,NO,acme
Size,tproductshort,varchar,NO,acme
Size_UOMID,tproductshort,varchar,NO,acme
I_Size,tproductshort,varchar,NO,acme
I_UOMID,tproductshort,varchar,NO,acme
Parent,tproductshort,varchar,NO,acme
Count,tproductshort,varchar,NO,acme
Endorsements,tproductshort,varchar,NO,acme
Country,tproductshort,varchar,NO,acme
Prepared Notes Health Claims,tproductshort,varchar,NO,acme
Serving_Size,tproductshort,varchar,NO,acme
Serving_Size_UOMID,tproductshort,varchar,NO,acme
I_Serving_Size,tproductshort,varchar,NO,acme
IServing_Size_UOM,tproductshort,varchar,NO,acme
IServing_Size_UOMID,tproductshort,varchar,NO,acme
Pieces,tproductshort,varchar,NO,acme
Servings_Per_Container,tproductshort,varchar,NO,acme
Calories,tproductshort,varchar,NO,acme
Fat_Calories,tproductshort,varchar,NO,acme
Total_Fat_G,tproductshort,varchar,NO,acme
Dvp_Total_Fat,tproductshort,varchar,NO,acme
Saturated_Fat_G,tproductshort,varchar,NO,acme
Dvp_Saturated_Fat,tproductshort,varchar,NO,acme
Trans_Fat_G,tproductshort,varchar,NO,acme
Dvp_Trans_Fat,tproductshort,varchar,NO,acme
Polyunsaturated_Fat_G,tproductshort,varchar,NO,acme
Monounsaturated Fat_G,tproductshort,varchar,NO,acme
Cholesterol_MG,tproductshort,varchar,NO,acme
Dvp_Cholesterol,tproductshort,varchar,NO,acme
Sodium_MG,tproductshort,varchar,NO,acme
Dvp_Sodium,tproductshort,varchar,NO,acme
Potassium_MG,tproductshort,varchar,NO,acme
Dvp_Potassium,tproductshort,varchar,NO,acme
Carbohydrates_G,tproductshort,varchar,NO,acme
Dvp_Carbohydrates,tproductshort,varchar,NO,acme
Fiber_G,tproductshort,varchar,NO,acme
Dvp_Dietary_Fiber,tproductshort,varchar,NO,acme
Sugars_G,tproductshort,varchar,NO,acme
Dvp_Sugar,tproductshort,varchar,NO,acme
Other_Carbohydrates_G,tproductshort,varchar,NO,acme
Sugar Alcohols_G,tproductshort,varchar,NO,acme
Protein_G,tproductshort,varchar,NO,acme
Dvp_Protein,tproductshort,varchar,NO,acme
Net_Carbs_G,tproductshort,varchar,NO,acme
Ingredients,tproductshort,varchar,NO,acme
Warnings,tproductshort,varchar,NO,acme
Allergy Information,tproductshort,varchar,NO,acme
Dvp_Vitamin_A,tproductshort,varchar,NO,acme
Dvp_Vitamin_C,tproductshort,varchar,NO,acme
Dvp_Calcium,tproductshort,varchar,NO,acme
Dvp_Iron,tproductshort,varchar,NO,acme
Dvp_Vitamin_D,tproductshort,varchar,NO,acme
Dvp_Vitamin_E,tproductshort,varchar,NO,acme
Dvp_Vitamin_K,tproductshort,varchar,NO,acme
Dvp_Thiamin,tproductshort,varchar,NO,acme
Dvp_Riboflavin,tproductshort,varchar,NO,acme
Dvp_Niacin,tproductshort,varchar,NO,acme
Dvp_Vitamin_B1,tproductshort,varchar,NO,acme
Dvp_Vitamin_B2,tproductshort,varchar,NO,acme
Dvp_Vitamin_B6,tproductshort,varchar,NO,acme
Dvp_Folic_Acid,tproductshort,varchar,NO,acme
Dvp_Vitamin_B12,tproductshort,varchar,NO,acme
Dvp_Biotin,tproductshort,varchar,NO,acme
DVP_Pantothenic_Acid,tproductshort,varchar,NO,acme
Dvp_Phosphorus,tproductshort,varchar,NO,acme
Dvp_Iodine,tproductshort,varchar,NO,acme
Dvp_Magnesium,tproductshort,varchar,NO,acme
Dvp_Zinc,tproductshort,varchar,NO,acme
Dvp_Selenium,tproductshort,varchar,NO,acme
Dvp_Copper,tproductshort,varchar,NO,acme
Dvp_Manganese,tproductshort,varchar,NO,acme
Dvp_Chromium,tproductshort,varchar,NO,acme
Dvp_Molybdenum,tproductshort,varchar,NO,acme
Dvp_Vitamin_B3,tproductshort,varchar,NO,acme
Dvp_Vitamin_B5,tproductshort,varchar,NO,acme
Dvp_Folate,tproductshort,varchar,NO,acme
Soluble Fiber,tproductshort,varchar,NO,acme
Insoluble Fiber,tproductshort,varchar,NO,acme
Phosphate,tproductshort,varchar,NO,acme
Chloride,tproductshort,varchar,NO,acme
Caffeine_Mg,tproductshort,varchar,NO,acme
Silica,tproductshort,varchar,NO,acme
pH,tproductshort,varchar,NO,acme
Bicarbonates,tproductshort,varchar,NO,acme
Total Dissolved Solids,tproductshort,varchar,NO,acme
Omega 3,tproductshort,varchar,NO,acme
Oleic Acid,tproductshort,varchar,NO,acme
StoreID,tstore,int,YES,acme
Store,tstore,varchar,NO,acme
Address1,tstore,varchar,NO,acme
Address2,tstore,varchar,NO,acme
City,tstore,varchar,NO,acme
State,tstore,varchar,NO,acme
Zip,tstore,varchar,NO,acme
ManagerID,tstore,int,NO,acme
StudentID,tstudent,int,YES,acme
StudentNumber,tstudent,varchar,NO,acme
LastName,tstudent,varchar,NO,acme
FirstName,tstudent,varchar,NO,acme
Address1,tstudent,varchar,NO,acme
Address2,tstudent,varchar,NO,acme
City,tstudent,varchar,NO,acme
State,tstudent,varchar,NO,acme
ZipCode,tstudent,varchar,NO,acme
Student_ClassID,tstudent_class,int,YES,acme
StudentID,tstudent_class,int,NO,acme
ClassID,tstudent_class,int,NO,acme
testID,ttest,bigint,YES,acme
testData,ttest,varchar,NO,acme
timeDateStamp,ttest,date,NO,acme
testInt,ttest,int,NO,acme
testTableID,ttesttable,int,YES,acme
testTable,ttesttable,int,NO,acme
testTableString,ttesttable,varchar,NO,acme
testTableStringNullable,ttesttable,varchar,NO,acme
testTableDate,ttesttable,date,NO,acme
TransactionID,ttransaction,int,YES,acme
TimeOfTransaction,ttransaction,varchar,NO,acme
DateOfTransaction,ttransaction,varchar,NO,acme
StoreID,ttransaction,varchar,NO,acme
LoyaltyID,ttransaction,varchar,NO,acme
TransactionTypeID,ttransaction,varchar,NO,acme
EmplID,ttransaction,varchar,NO,acme
Comment,ttransaction,varchar,NO,acme
BufferID,ttransactiondetail,int,YES,acme
TransactionDetailID,ttransactiondetail,varchar,NO,acme
TransactionID,ttransactiondetail,varchar,NO,acme
ProductID,ttransactiondetail,varchar,NO,acme
QtyOfProduct,ttransactiondetail,varchar,NO,acme
PricePerSellableUnit,ttransactiondetail,varchar,NO,acme
TotalPrice,ttransactiondetail,varchar,NO,acme
Comment,ttransactiondetail,varchar,NO,acme
a1,zzz,varchar,NO,acme
